hsk_level,hanzi,pinyin,meaning
5,哎,āi,hey!; (interjection of surprise or dissatisfaction)
5,唉,ài,(an exclamation indicating resignation); oh well; oh
5,爱护,àihù,cherish; reassure; take good care of
5,爱惜,àixī,cherish; treasure; use sparingly
5,爱心,àixīn,compassion
5,安慰,ānwèi,to comfort; to console
5,安装,ānzhuāng,install; erect; to fix
5,岸,àn,bank; shore; beach
5,暗,àn,dark; gloomy; hidden
5,熬夜,áoyè,stay up very late or all night
5,把握,bǎwò,grasp; hold; certainty
5,摆,bǎi,to put (on); arrange; to sway
5,办理,bànlǐ,to handle; to transact; to conduct
5,傍晚,bàngwǎn,in the evening; when night falls
5,包裹,bāoguǒ,wrap up; bind up; package
5,包含,bāohán,contain; embody; include
5,包括,bāokuò,comprise; include; consist of
5,薄,báo,thin; flimsy; weak (first two pronunciations)
5,宝贝,bǎobèi,treasure; precious things; darling
5,宝贵,bǎoguì,valuable; precious; value
5,保持,bǎochí,to keep; maintain; to hold
5,保存,bǎocún,"conserve; preserve; to keep, to save a file in a computer"
5,保留,bǎoliú,to reserve; hold back; retain
5,保险,bǎoxiǎn,insurance; insure; safe
5,报到,bàodào,report for duty; to check in; register
5,报道,bàodào,to report; news report
5,报告,bàogào,to report; make known; inform
5,报社,bàoshè,newspaper office
5,抱怨,bàoyuàn,complain; grumble
5,背,bēi,carry on one's back; to bear
5,悲观,bēiguān,pessimistic
5,背景,bèijǐng,background
5,被子,bèizi,quilt; blanket
5,本科,běnkē,undergraduate
5,本领,běnlǐng,skill; ability; capability
5,本质,běnzhì,essence; nature; innate character
5,比例,bǐlì,proportion; scale
5,彼此,bǐcǐ,each other; one another
5,必然,bìrán,inevitable; certain; necessary
5,必要,bìyào,necessary; essential; indispensable
5,毕竟,bìjìng,after all; overall; when all is said and done
5,避免,bìmiǎn,avoid; avert; prevent
5,编辑,biānjí,to edit; compile; editor
5,鞭炮,biānpào,firecracker; a long string of small firecrackers
5,便,"biàn, pián",plain; convenient; excretion
5,辩论,biànlùn,argue; debate; argue over
5,标点,biāodiǎn,punctuation; punctuation mark; punctuate
5,标志,biāozhì,sign; mark; signal
5,表达,biǎodá,to express; to voice; convey
5,表面,biǎomiàn,surface; outside; face
5,表明,biǎomíng,make clear; make known
5,表情,biǎoqíng,(facial) expression; express one's feelings
