hsk_level,hanzi,pinyin,meaning
3,阿姨,āyí,auntie; step-mother; mother's younger sister
3,啊,a,"ah; (particle showing elation, doubt, puzzled surprise, or approval)"
3,矮,ǎi,short; low
3,爱好,àihào,hobby; fond of; to like
3,安静,ānjìng,quiet; peaceful; calm
3,把,bǎ,(mw for things with handles); (pretransitive particle); to hold
3,班,bān,team; class; squad
3,搬,bān,to move; to transport
3,办法,bànfǎ,method; way (of doing something)
3,办公室,bàngōngshì,office
3,半,bàn,half; semi-; incomplete
3,帮忙,bāngmáng,to help
3,包,bāo,to cover; to wrap; to hold
3,饱,bǎo,eat until full; satisfied
3,北方,běifāng,north; the northern part of the country
3,被,bèi,by (indicates passive voice sentences); a quilt/blanket
3,鼻子,bízi,nose
3,比较,bǐjiào,compare; contrast; relatively
3,比赛,bǐsài,(sports) match; competition
3,笔记本,bǐjìběn,notebook
3,必须,bìxū,must; have to
3,变化,biànhuà,change
3,别人,biéren,other people; others
3,冰箱,bīngxiāng,refrigerator
3,不但,búdàn,not only
3,而且,érqiě,moreover; in addition; as well as
3,菜单,càidān,menu
3,参加,cānjiā,participate; join; take part in
3,草,cǎo,grass; straw; draft (of a document)
3,层,céng,"(mw for layers, floors of buildings)"
3,差,chà,differ from; fall short of; poor
3,超市,chāoshì,supermarket
3,衬衫,chènshān,shirt; blouse
3,成绩,chéngjì,achievement; success; results (of work or study)
3,城市,chéngshì,city or town
3,迟到,chídào,arrive late
3,除了,chúle,besides; except for; aside from
3,船,chuán,a boat; vessel; ship
3,春,chūn,spring (season); joyful
3,词典,cídiǎn,dictionary
3,聪明,cōngming,intelligent; clever; bright
3,打扫,dǎsǎo,to clean; to sweep
3,打算,dǎsuàn,to plan; intend
3,带,dài,band; belt; ribbon
3,担心,dānxīn,to worry; feel anxious
3,蛋糕,dàngāo,cake
3,当然,dāngrán,of course; naturally
3,地,"dì, de",earth; ground; (adverbial particle)
3,灯,dēng,lamp; light
3,地方,dìfang,place; space; room
3,地铁,dìtiě,subway
3,地图,dìtú,map
3,电梯,diàntī,elevator
3,电子邮件,diànzǐ yóujiàn,email
3,东,dōng,East
3,冬,dōng,winter
3,动物,dòngwù,animal
3,短,duǎn,"short (in length, duration, or height); lack"
3,段,duàn,paragraph; segment; section
3,锻炼,duànliàn,to exercise; work out; toughen
3,多么,duōme,"how (wonderful, etc.); what (a great idea)"
3,饿,è,hungry
3,耳朵,ěrduo,ear
3,发,"fā, fà",send out; to issue; to show (one's feelings)
3,发烧,fāshāo,have a fever
3,发现,fāxiàn,discover; to find
3,方便,fāngbiàn,convenient
3,放,fàng,put; to place; to release
3,放心,fàngxīn,relax; feel relieved; rest assured
3,分,"fēn, fèn",divide; part; minute
3,附近,fùjìn,(in the) vicinity; nearby; neighboring
3,复习,fùxí,revise; to review
3,干净,gānjìng,clean; neat and tidy
3,感冒,gǎnmào,catch cold; (common) cold
3,感兴趣,gǎn xìngqù,be interested in
3,刚才,gāngcái,just now; a moment ago
3,个子,gèzi,height; stature; build
3,根据,gēnjù,according to; based on; basis
3,跟,gēn,to follow; go with; heel
3,更,gèng,more; even more
3,公斤,gōngjīn,kilogram
3,公园,gōngyuán,public park
3,故事,gùshi,story; tale
3,刮风,guāfēng,windy; to blow (wind)
3,关,guān,to close; shut; concern
3,关系,guānxi,relation; to concern
3,关心,guānxīn,concerned about/with
3,关于,guānyú,about; regarding; concerning
3,国家,guójiā,country; state; nation
3,过,guò,to pass; to cross; go over
3,过去,guòqù,in the past; formerly
3,还是,háishi,or; still; nevertheless
3,害怕,hàipà,afraid of; to fear
3,黑板,hēibǎn,blackboard
3,后来,hòulái,afterwards; after; later
3,护照,hùzhào,passport
3,花,huā,flower; blossom; spend money
3,画,huà,draw; picture; painting
3,坏,huài,bad; broken
3,欢迎,huānyíng,to welcome; greet
3,还,hái,still; yet; in addition
3,环境,huánjìng,environment; surroundings
3,换,huàn,change; to exchange; to barter
3,黄河,huánghé,Yellow River
3,回答,huídá,to reply; to answer
