hsk_level,hanzi,pinyin,meaning
6,挨,āi,get close to; in sequence
6,癌症,áizhèng,cancer
6,爱不释手,àibúshìshǒu,love something too much to part with it
6,爱戴,àidài,love and respect
6,暧昧,àimèi,ambiguous; shady
6,安宁,ānníng,peaceful; calm; tranquil
6,安详,ānxiáng,serene; composed
6,安置,ānzhì,find a place for; help settle down; arrange for
6,按摩,ànmó,massage
6,案件,ànjiàn,legal case; judicial case
6,案例,ànlì,(Law) case
6,暗示,ànshì,drop a hint; suggest
6,昂贵,ángguì,expensive; costly
6,凹凸,āotū,(of a surface) uneven; bumpy
6,熬,áo,endure; to boil
6,奥秘,àomì,mystery; enigma; profound
6,巴不得,bābùdé,eagerly look forward to; earnestly wish; be only too anxious to
6,巴结,bājie,to fawn on; curry favor with
6,扒,bā,dig up; pull down; take off
6,疤,bā,scar
6,拔苗助长,bámiáozhùzhǎng,(literally) help shoots grow by pulling them out; spoil things by excessive enthusiasm
6,把关,bǎ guān,guard a pass; check on
6,把手,bǎshou,knob; handle; grip
6,罢工,bà gōng,to strike; go on strike
6,霸道,bàdào,overbearing; despotic hegemony; rule by force
6,掰,bāi,break with both hands
6,摆脱,bǎituō,break away; free oneself from; cast off
6,败坏,bàihuài,ruin; corrupt; undermine
6,拜访,bàifǎng,pay a visit; call on
6,拜年,bài nián,congratulate the New Year; wish sb. a Happy New Year
6,拜托,bàituō,ask a favor; request; please!
6,颁布,bānbù,promulgate; to issue; publish (e.g a decree)
6,颁发,bānfā,issue; promulgate; award
6,斑,bān,variety; speckled; spot
6,版本,bǎnběn,edition
6,半途而废,bàn tú ér fèi,give up halfway; leave sth. unfinished
6,扮演,bànyǎn,play the part of; act
6,伴侣,bànlǚ,companion; partner; mate
6,伴随,bànsuí,accompany; go with; follow
6,绑架,bǎngjià,kidnap; staking
6,榜样,bǎngyàng,example; model
6,磅,bàng,pound; weigh; scale
6,包庇,bāobì,to shield; to harbor; cover up
6,包袱,bāofu,bundle wrapped in cloth; cloth-wrapper
6,包围,bāowéi,surround; encircle; hem in
6,包装,bāozhuāng,to pack; package; make up
6,饱和,bǎohé,saturation
6,饱经沧桑,bǎojīngcāngsāng,experienced many changes
6,保管,bǎoguǎn,assure; take care of; surely
6,保密,bǎo mì,keep secret/confidential
6,保姆,bǎomǔ,nanny; housekeeper
6,保守,bǎoshǒu,"conservative (ideas, estimates, politically, etc.); to guard; to keep"
6,保卫,bǎowèi,defend; to safeguard
6,保养,bǎoyǎng,take good care of (or conserve) one's health; keep in good repair
6,保障,bǎozhàng,ensure; to guarantee; protect
6,保重,bǎozhòng,take care (of oneself)
6,报仇,bàochóu,retaliate; to revenge; avenge
