hsk_level,hanzi,pinyin,meaning
4,广播,guǎngbō,broadcast; on the air
4,广告,guǎnggào,advertisement; a commercial
4,逛,guàng,to stroll; to visit; go window shopping
4,规定,guīdìng,regulation; stipulate; fix
4,国籍,guójí,nationality
4,国际,guójì,international
4,果汁,guǒzhī,fruit juice
4,过程,guòchéng,course of events; process
4,海洋,hǎiyáng,ocean
4,害羞,hài xiū,blush; shy
4,寒假,hánjià,winter vacation
4,汗,hàn,sweat; perspiration; Khan
4,航班,hángbān,scheduled flight; flight number
4,好处,hǎochu,benefit; advantage
4,好像,hǎoxiàng,as if; seem to be
4,号码,hàomǎ,number
4,合格,hégé,qualified; up to standard
4,合适,héshì,suitable; proper; appropriate
4,盒子,hézi,box
4,后悔,hòuhuǐ,to regret; repent
4,厚,hòu,thick (for flat things); generous
4,互联网,Hùliánwǎng,Internet
4,互相,hùxiāng,mutually; with each other
4,护士,hùshi,nurse
4,怀疑,huáiyí,doubt; to suspect; be skeptical
4,回忆,huíyì,to recall; recollect
4,活动,huódòng,activity; exercise; move about
4,活泼,huópo,lively; vivacious
4,火,huǒ,fire
4,获得,huòdé,obtain; acquire; to gain
4,积极,jījí,active; positive; energetic
4,积累,jīlěi,accumulate; accumulation
4,基础,jīchǔ,base; foundation
4,激动,jīdòng,excite; agitate
4,及时,jíshí,timely; in time; promptly
4,即使,jíshǐ,even if; even though
4,计划,jìhuà,plan; project
4,记者,jìzhě,reporter; journalist
4,技术,jìshù,technology; technique; skill
4,既然,jìrán,since; given that; now that
4,继续,jìxù,to continue; to go on; to proceed
4,寄,jì,send by mail
4,加班,jiā bān,work overtime
4,加油站,jiāyóuzhàn,gas station
4,家具,jiājù,furniture
4,假,"jiǎ, jià",fake; if; borrow
4,价格,jiàgé,price
4,坚持,jiānchí,persist in; persevere
4,减肥,jiǎnféi,go on a diet; lose weight
4,减少,jiǎnshǎo,reduce; to decrease
4,建议,jiànyì,to propose; to suggest; recommend
4,将来,jiānglái,the future
4,奖金,jiǎngjīn,bonus
4,降低,jiàngdī,reduce; to lower; to drop
4,降落,jiàngluò,descend; to land; put down
4,交,jiāo,deliver; turn over; intersect
4,交流,jiāoliú,communicate; exchange; give and take
4,交通,jiāotōng,traffic; transportation
4,郊区,jiāoqū,suburbs; outskirts
4,骄傲,jiāo'ào,proud; arrogant; conceited
4,饺子,jiǎozi,dumpling; potsticker
4,教授,jiàoshòu,professor; instruct; to lecture
4,教育,jiàoyù,education
4,接受,jiēshòu,"accept; receive (honors, etc.)"
4,接着,jiēzhe,continue; carry on; to catch
4,节,jié,section; part; festival
4,节约,jiéyuē,frugal; to save
4,结果,jiéguǒ,result; outcome; finally
4,解释,jiěshì,to explain
4,尽管,jǐnguǎn,despite; although; even though
4,紧张,jǐnzhāng,nervous; tension; strain
4,进行,jìnxíng,carry on; carry out; undertake
4,禁止,jìnzhǐ,to ban; prohibit
4,京剧,jīngjù,Beijing Opera
4,经济,jīngjì,economy; economic
4,经历,jīnglì,undergo; to experience
4,经验,jīngyàn,experience
